Census Tract,CE01totcounts,CE02totcounts,CE03totcounts,C000totcounts,ct,CE01Percent,CE02Percent,CE03Percent,TractLabel
002602,529,541,1210,2280,002602,0.23201754385964912,0.23728070175438595,0.5307017543859649,6
002700,1137,1507,1596,4240,002700,0.2681603773584906,0.3554245283018868,0.37641509433962267,5
002701,367,481,218,1066,002701,0.3442776735459662,0.45121951219512196,0.2045028142589118,1
002702,665,915,423,2003,002702,0.3320019970044933,0.45681477783325014,0.21118322516225663,1
002800,2037,2788,3703,8528,002800,0.23886022514071295,0.3269230769230769,0.43421669793621015,5
002900,2489,3072,3969,9530,002900,0.26117523609653726,0.3223504721930745,0.41647429171038824,5
002901,733,1003,859,2595,002901,0.28246628131021195,0.38651252408477843,0.3310211946050096,5
003000,1524,1991,1722,5237,003000,0.29100630131754823,0.3801794920756158,0.32881420660683597,5
003001,494,540,1556,2590,003001,0.19073359073359072,0.2084942084942085,0.6007722007722007,6
003002,373,385,1013,1771,003002,0.2106154714850367,0.21739130434782608,0.5719932241671372,6
003100,1827,2431,3554,7812,003100,0.23387096774193547,0.3111879160266257,0.4549411162314388,5
003200,1643,1991,3829,7463,003200,0.22015275358434946,0.26678279512260483,0.5130644512930457,6
003300,2090,2866,5896,10852,003300,0.1925912274235164,0.26409878363435313,0.5433099889421305,6
003301,433,476,252,1161,003301,0.37295434969853575,0.4099913867355728,0.21705426356589147,1
003302,412,404,153,969,003302,0.42518059855521156,0.4169246646026832,0.15789473684210525,1
003400,2494,2968,5006,10468,003400,0.23824990447076805,0.28353076041268627,0.4782193351165457,6
003500,1827,2149,1965,5941,003500,0.3075239858609662,0.3617236155529372,0.3307523985860966,3
003600,1914,2683,3586,8183,003600,0.23389954784308933,0.32787486251985826,0.43822558963705244,5
003601,727,842,1041,2610,003601,0.278544061302682,0.3226053639846743,0.3988505747126437,5
003602,566,652,1211,2429,003602,0.23301770275833678,0.268423219431865,0.49855907780979825,6
003700,1799,2314,3412,7525,003700,0.23906976744186045,0.30750830564784054,0.453421926910299,5
003800,2401,2809,5184,10394,003800,0.23099865306907832,0.2702520685010583,0.4987492784298634,6
003802,136,79,60,275,003802,0.49454545454545457,0.2872727272727273,0.21818181818181817,0
003805,652,906,870,2428,003805,0.2685337726523888,0.3731466227347611,0.35831960461285006,5
003900,2611,3137,5498,11246,003900,0.232171438733772,0.2789436243997866,0.4888849368664414,6
003901,138,198,72,408,003901,0.3382352941176471,0.4852941176470588,0.17647058823529413,1
004000,3265,3932,6149,13346,004000,0.24464258953993706,0.29462011089465007,0.46073729956541287,6
004001,886,1119,895,2900,004001,0.30551724137931036,0.3858620689655172,0.3086206896551724,3
004002,121,199,189,509,004002,0.23772102161100198,0.39096267190569745,0.3713163064833006,5
004100,2808,3419,4758,10985,004100,0.2556213017751479,0.31124260355029587,0.4331360946745562,5
004200,2329,3153,4210,9692,004200,0.24030127940569543,0.3253198514238547,0.4343788691704499,5
004300,2315,3031,4587,9933,004300,0.23306151213127957,0.3051444679351656,0.46179401993355484,5
004301,108,101,45,254,004301,0.4251968503937008,0.39763779527559057,0.17716535433070865,1
004302,308,253,235,796,004302,0.3869346733668342,0.3178391959798995,0.2952261306532663,1
004400,2300,2606,8143,13049,004400,0.1762587171430761,0.1997087899455897,0.6240324929113342,6
004401,893,1146,810,2849,004401,0.31344331344331344,0.40224640224640223,0.2843102843102843,1
004402,381,404,104,889,004402,0.42857142857142855,0.4544431946006749,0.11698537682789652,1
004500,2029,2170,4550,8749,004500,0.23191221853926164,0.24802834609669677,0.5200594353640416,6
004600,1077,1244,2164,4485,004600,0.24013377926421406,0.2773690078037904,0.48249721293199554,6
004601,443,466,513,1422,004601,0.31153305203938114,0.32770745428973275,0.36075949367088606,3
004602,342,335,143,820,004602,0.4170731707317073,0.40853658536585363,0.174390243902439,1
004700,1993,2466,4272,8731,004700,0.22826709426182568,0.28244187378307184,0.4892910319551025,6
004701,413,473,283,1169,004701,0.3532934131736527,0.40461933276304535,0.24208725406330198,1
004702,286,399,176,861,004702,0.3321718931475029,0.4634146341463415,0.20441347270615565,1
004800,2311,2646,5782,10739,004800,0.21519694571189124,0.24639165657882484,0.5384113977092839,6
004900,1942,2186,4705,8833,004900,0.21985735310766444,0.24748103702026492,0.5326616098720707,6
005000,1924,2203,4957,9084,005000,0.21180096873623955,0.24251431087626596,0.5456847203874945,6
005001,709,999,1425,3133,005001,0.22630067028407277,0.31886370890520266,0.45483562081072454,5
005002,910,1195,1831,3936,005002,0.23119918699186992,0.30360772357723576,0.4651930894308943,5
005100,2594,3309,3635,9538,005100,0.2719647724889914,0.3469280771650241,0.38110715034598447,5
005200,1731,1921,3754,7406,005200,0.23372940858763164,0.25938428301377264,0.5068863083985957,6
005201,563,568,1168,2299,005201,0.24488908220965638,0.24706394084384514,0.5080469769464985,6
005202,466,596,1102,2164,005202,0.21534195933456562,0.2754158964879852,0.5092421441774492,6
005300,2080,2459,3573,8112,005300,0.2564102564102564,0.3031311637080868,0.4404585798816568,5
005400,2908,3746,6241,12895,005400,0.22551376502520357,0.29050019387359444,0.483986041101202,6
005500,1794,1929,2256,5979,005500,0.3000501756146513,0.32262920220772706,0.3773206221776217,3
005501,240,281,1444,1965,005501,0.12213740458015267,0.1430025445292621,0.7348600508905853,6
005502,228,187,961,1376,005502,0.16569767441860464,0.13590116279069767,0.6984011627906976,6
005600,1461,1797,2226,5484,005600,0.26641137855579866,0.3276805251641138,0.4059080962800875,5
005601,443,491,1261,2195,005601,0.20182232346241458,0.22369020501138953,0.574487471526196,6
005602,277,304,675,1256,005602,0.22054140127388536,0.24203821656050956,0.5374203821656051,6
005700,1387,1656,2438,5481,005700,0.25305601167670133,0.3021346469622332,0.4448093413610655,5
005701,556,603,1619,2778,005701,0.20014398848092152,0.21706263498920086,0.5827933765298776,6
005702,292,320,765,1377,005702,0.2120551924473493,0.23238925199709515,0.5555555555555556,6
005800,2192,2726,4968,9886,005800,0.22172769573133724,0.27574347562209184,0.5025288286465709,6
005801,412,587,316,1315,005801,0.3133079847908745,0.4463878326996198,0.2403041825095057,1
005802,617,723,332,1672,005802,0.36901913875598086,0.43241626794258375,0.19856459330143542,1
005900,2196,2307,4306,8809,005900,0.24929049835395617,0.2618912475876944,0.4888182540583494,6
005901,449,590,908,1947,005901,0.23061119671289163,0.30303030303030304,0.46635850025680536,5
005902,826,1141,1881,3848,005902,0.21465696465696466,0.2965176715176715,0.48882536382536385,6
006000,2035,2632,4514,9181,006000,0.22165341466071234,0.2866790110009803,0.4916675743383074,6
006100,2334,2985,5260,10579,006100,0.2206257680310048,0.28216277530957556,0.4972114566594196,6
006101,485,524,297,1306,006101,0.37136294027565087,0.4012251148545176,0.22741194486983154,1
006102,209,262,182,653,006102,0.32006125574272587,0.4012251148545176,0.2787136294027565,1
006103,332,456,477,1265,006103,0.2624505928853755,0.36047430830039523,0.37707509881422924,5
006200,1906,2660,3777,8343,006200,0.2284549922090375,0.3188301570178593,0.4527148507731032,5
006201,377,523,1040,1940,006201,0.1943298969072165,0.26958762886597937,0.5360824742268041,6
006202,416,616,1060,2092,006202,0.1988527724665392,0.2944550669216061,0.5066921606118547,6
006300,2744,3430,6286,12460,006300,0.2202247191011236,0.2752808988764045,0.5044943820224719,6
006301,543,672,638,1853,006301,0.2930383162439288,0.36265515380464114,0.34430652995143013,5
006302,221,264,535,1020,006302,0.21666666666666667,0.25882352941176473,0.5245098039215687,6
006400,2464,3097,6702,12263,006400,0.20092962570333522,0.25254831607273914,0.5465220582239256,6
006500,2217,2645,5627,10489,006500,0.21136428639527124,0.25216893888835923,0.5364667747163695,6
006501,627,830,1212,2669,006501,0.23491944548520044,0.3109778943424504,0.4541026601723492,5
006502,246,381,705,1332,006502,0.18468468468468469,0.28603603603603606,0.5292792792792793,6
006600,1948,2296,6417,10661,006600,0.18272207110027203,0.2153644123440578,0.6019135165556702,6
006601,277,368,327,972,006601,0.28497942386831276,0.3786008230452675,0.33641975308641975,5
006602,213,236,429,878,006602,0.24259681093394078,0.26879271070615035,0.4886104783599089,6
006700,2575,2898,6497,11970,006700,0.21512113617376774,0.24210526315789474,0.5427736006683375,6
006701,412,530,532,1474,006701,0.27951153324287653,0.35956580732700133,0.36092265943012214,5
006702,326,471,650,1447,006702,0.22529371112646857,0.3255010366275052,0.44920525224602625,5
006800,2186,2758,5214,10158,006800,0.21519984248867888,0.2715101397912975,0.5132900177200236,6
006801,405,452,1519,2376,006801,0.17045454545454544,0.19023569023569023,0.6393097643097643,6
006802,422,491,1488,2401,006802,0.17576009995835068,0.2044981257809246,0.6197417742607247,6
006900,2271,2777,5594,10642,006900,0.21339973689156175,0.26094719037774855,0.5256530727306897,6
006901,430,476,168,1074,006901,0.40037243947858475,0.44320297951582865,0.1564245810055866,1
006902,466,568,357,1391,006902,0.33501078360891445,0.40833932422717467,0.2566498921639109,1
007000,3141,3740,8235,15116,007000,0.2077930669489283,0.2474199523683514,0.5447869806827202,6
007100,2274,2858,6038,11170,007100,0.2035810205908684,0.255863921217547,0.5405550581915846,6
007101,439,478,173,1090,007101,0.40275229357798165,0.43853211009174314,0.15871559633027524,1
007102,356,359,228,943,007102,0.37751855779427357,0.3806998939554613,0.2417815482502651,1
007200,1851,2259,5973,10083,007200,0.1835763165724487,0.2240404641475751,0.5923832192799762,6
007202,192,347,277,816,007202,0.23529411764705882,0.4252450980392157,0.3394607843137255,5
007300,1740,2024,4834,8598,007300,0.20237264480111655,0.23540358222842522,0.5622237729704582,6
007302,1067,1159,1824,4050,007302,0.2634567901234568,0.28617283950617284,0.45037037037037037,6
007303,830,1031,1624,3485,007303,0.2381635581061693,0.2958393113342898,0.4659971305595409,6
007304,654,699,1399,2752,007304,0.2376453488372093,0.2539970930232558,0.5083575581395349,6
007400,1491,2059,3831,7381,007400,0.2020051483538816,0.2789594905839317,0.5190353610621867,6
007401,388,488,1210,2086,007401,0.1860019175455417,0.2339405560882071,0.5800575263662512,6
007402,202,268,811,1281,007402,0.15768930523028885,0.20921155347384857,0.6330991412958626,6
007500,2617,3134,6932,12683,007500,0.20633919419695657,0.24710242056295828,0.5465583852400852,6
007600,2378,3099,4837,10314,007600,0.23056040333527245,0.3004653868528214,0.46897420981190613,5
007700,2735,3213,7400,13348,007700,0.2048996104285286,0.24071021875936469,0.5543901708121067,6
007800,2658,3588,6368,12614,007800,0.21071824956397653,0.2844458538132234,0.5048358966228,6
007801,268,321,501,1090,007801,0.24587155963302754,0.2944954128440367,0.4596330275229358,6
007802,206,217,430,853,007802,0.24150058616647127,0.2543962485345838,0.5041031652989449,6
007900,2103,2759,4017,8879,007900,0.23685099673386642,0.3107331906746255,0.45241581259150804,5
007901,463,510,733,1706,007901,0.27139507620164127,0.2989449003516999,0.4296600234466589,6
007902,838,1037,1290,3165,007902,0.26477093206951025,0.3276461295418641,0.4075829383886256,5
007903,544,619,750,1913,007903,0.2843700993204391,0.323575535807632,0.3920543648719289,5
007904,463,616,789,1868,007904,0.24785867237687367,0.3297644539614561,0.42237687366167026,5
007905,627,782,961,2370,007905,0.2645569620253165,0.329957805907173,0.4054852320675105,5
008000,1493,1961,3582,7036,008000,0.21219442865264354,0.2787094940306993,0.5090960773166572,6
008001,890,930,1148,2968,008001,0.2998652291105121,0.3133423180592992,0.3867924528301887,5
008002,818,931,1173,2922,008002,0.2799452429842574,0.3186173853524983,0.40143737166324434,5
008003,844,935,1035,2814,008003,0.2999289267945984,0.3322672352523099,0.3678038379530917,5
008100,2113,2509,5557,10179,008100,0.20758424206700068,0.24648786717752236,0.545927890755477,6
008101,810,959,1275,3044,008101,0.26609724047306177,0.31504599211563733,0.4188567674113009,5
008102,650,673,1130,2453,008102,0.26498165511618427,0.27435792906644924,0.4606604158173665,6
